serial_nr,stationid,stationname,state,source,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,,deg,deg,ft,m,-,deg,deg,m MSL,-,-
1,2695540,Bermuda Esso Pier,BM,NOAA_NOS,MSL,-64.703306,32.373389,NaN,NaN,NOAA gage,-64.706404,32.366967,459.177859,2837562,1445686
2,8410140,Eastport Passamaquoddy Bay,ME,NOAA_NOS,MSL,-66.982315,44.903300,0.23,0.07,NOAA gage,-66.982762,44.904521,36.251416,1839619,938356
3,8411060,Cutler Farris Wharf,ME,NOAA_NOS,MSL,-67.204670,44.657030,0.35,0.11,NOAA gage,-67.202853,44.656605,-2.657883,2230696,1136801
4,8413320,Bar Harbor,ME,NOAA_NOS,MSL,-68.205000,44.391700,0.28,0.08,NOAA gage,-68.206081,44.394264,4.419281,2058788,1055584
5,8418150,Portland,ME,NOAA_NOS,MSL,-70.245674,43.656700,0.32,0.10,NOAA gage,-70.23916,43.659319,11.419582,2095913,1068296
6,8419317,Wells,ME,NOAA_NOS,MSL,-70.563310,43.320000,0.37,0.11,NOAA gage,-70.559896,43.319574,2.147155,2121319,1081164
7,8423898,Fort Point,NH,NOAA_NOS,MSL,-70.710560,43.071390,0.31,0.09,NOAA gage,-70.70581,43.06558,13.566216,2188206,1115157
8,8443970,Boston,MA,NOAA_NOS,MSL,-71.038380,42.353920,0.30,0.09,NOAA gage,-70.995809,42.349118,4.452263,1829027,933001
9,8447386,Fall River,MA,NOAA_NOS,MSL,-71.164110,41.704310,0.21,0.06,NOAA gage,-71.189594,41.698633,4.99534,1944869,997308
10,8447435,Chatham,MA,NOAA_NOS,MSL,-69.951100,41.688500,0.20,0.06,NOAA gage,-69.932284,41.685945,-3.430023,2523516,1285903
11,8447930,Woods Hole,MA,NOAA_NOS,MSL,-70.671700,41.523300,0.38,0.12,NOAA gage,-70.669641,41.52312,2.013446,2286717,1165346
12,8449130,Nantucket Island,MA,NOAA_NOS,MSL,-70.091286,41.285000,0.27,0.08,NOAA gage,-70.091624,41.285206,4.897749,2635984,1348076
13,8452660,Newport,RI,NOAA_NOS,MSL,-71.326700,41.505000,0.30,0.09,NOAA gage,-71.327299,41.502804,4.649902,2286793,1172880
14,8452944,Conimicut Light,RI,NOAA_NOS,MSL,-71.343300,41.716700,0.30,0.09,NOAA gage,-71.342992,41.716801,13.962688,1797226,922225
15,8454000,Providence,RI,NOAA_NOS,MSL,-71.401700,41.806700,0.22,0.07,NOAA gage,-71.348062,41.723654,10.349325,1786632,911531
16,8454049,Quonset Point,RI,NOAA_NOS,MSL,-71.411000,41.586800,0.42,0.13,NOAA gage,-71.408873,41.584805,9.363112,2082826,1067897
17,8461490,New London,CT,NOAA_NOS,MSL,-72.086700,41.355000,0.30,0.09,NOAA gage,-72.075064,41.314208,8.58365,1912829,980927
18,8465705,New Haven,CT,NOAA_NOS,MSL,-72.908300,41.283300,0.36,0.11,NOAA gage,-72.907541,41.270027,3.788437,817864,422487
19,8467150,Bridegport,CT,NOAA_NOS,MSL,-73.181700,41.173300,0.22,0.07,NOAA gage,-73.179328,41.160298,4.882478,498168,259062
20,8510560,Montauk,NY,NOAA_NOS,MSL,-71.960000,41.048300,0.33,0.10,NOAA gage,-71.958171,41.047193,-1.856227,2160275,1107849
21,8516945,Kings Point,NY,NOAA_NOS,MSL,-73.767883,40.810310,0.27,0.08,NOAA gage,-73.767904,40.810579,7.181484,160385,82993
