lon, lat, val
-100.0000, 22.5000, 0
-99.0000, 22.5000, 0
-98.0000, 22.5000, 0
-97.0000, 22.5000, 0
-96.0000, 22.5000, 0
-95.0000, 22.5000, 0
-94.0000, 22.5000, 0
-93.0000, 22.5000, 0
-92.0000, 22.5000, 0
-91.0000, 22.5000, 0
-90.0000, 22.5000, 0
-89.0000, 22.5000, 0
-88.0000, 22.5000, 0
-87.0000, 22.5000, 0
-86.0000, 22.5000, 0
-85.0000, 22.5000, 0
-84.0000, 22.5000, 0
-83.0000, 22.5000, 0
-82.0000, 22.5000, 0
-81.0000, 22.5000, 0
-80.0000, 22.5000, 0
-79.0000, 22.5000, 0
-78.0000, 22.5000, 0
-77.0000, 22.5000, 0
-76.0000, 22.5000, 0
-75.0000, 22.5000, 0
-74.0000, 22.5000, 0
-73.0000, 22.5000, 0
-72.0000, 22.5000, 0
-71.0000, 22.5000, 0
-70.0000, 22.5000, 0
-69.0000, 22.5000, 0
-68.0000, 22.5000, 0
-67.0000, 22.5000, 0
-66.0000, 22.5000, 0
-65.0000, 22.5000, 0
-64.0000, 22.5000, 0
-63.0000, 22.5000, 0
-62.0000, 22.5000, 0
-61.0000, 22.5000, 0
-60.0000, 22.5000, 0
-100.0000, 22.5000, 0
-100.0000, 23.5000, 0
-100.0000, 24.5000, 0
-100.0000, 25.5000, 0
-100.0000, 26.5000, 0
-100.0000, 27.5000, 0
-100.0000, 28.5000, 0
-100.0000, 29.5000, 0
-100.0000, 30.5000, 0
-100.0000, 31.5000, 0
-100.0000, 32.5000, 0
-100.0000, 33.5000, 0
-100.0000, 34.5000, 0
-100.0000, 35.5000, 0
-100.0000, 36.5000, 0
-100.0000, 37.5000, 0
-100.0000, 38.5000, 0
-100.0000, 39.5000, 0
-100.0000, 40.5000, 0
-100.0000, 41.5000, 0
-100.0000, 42.5000, 0
-100.0000, 43.5000, 0
-100.0000, 44.5000, 0
-100.0000, 45.5000, 0
-100.0000, 46.0000, 0
-99.0000, 46.0000, 0
-98.0000, 46.0000, 0
-97.0000, 46.0000, 0
-96.0000, 46.0000, 0
-95.0000, 46.0000, 0
-94.0000, 46.0000, 0
-93.0000, 46.0000, 0
-92.0000, 46.0000, 0
-91.0000, 46.0000, 0
-90.0000, 46.0000, 0
-89.0000, 46.0000, 0
-88.0000, 46.0000, 0
-87.0000, 46.0000, 0
-86.0000, 46.0000, 0
-85.0000, 46.0000, 0
-84.0000, 46.0000, 0
-83.0000, 46.0000, 0
-82.0000, 46.0000, 0
-81.0000, 46.0000, 0
-80.0000, 46.0000, 0
-79.0000, 46.0000, 0
-78.0000, 46.0000, 0
-77.0000, 46.0000, 0
-76.0000, 46.0000, 0
-75.0000, 46.0000, 0
-74.0000, 46.0000, 0
-73.0000, 46.0000, 0
-72.0000, 46.0000, 0
-71.0000, 46.0000, 0
-70.0000, 46.0000, 0
-69.0000, 46.0000, 0
-68.0000, 46.0000, 0
-67.0000, 46.0000, 0
-66.0000, 46.0000, 0
-65.0000, 46.0000, 0
-64.0000, 46.0000, 0
-63.0000, 46.0000, 0
-62.0000, 46.0000, 0
-61.0000, 46.0000, 0
-60.0000, 46.0000, 0
-60.0000, 45.0000, 0
-60.0000, 44.0000, 0
-60.0000, 43.0000, 0
-60.0000, 42.0000, 0
-60.0000, 41.0000, 0
-60.0000, 40.0000, 0
-60.0000, 39.0000, 0
-60.0000, 38.0000, 0
-60.0000, 37.0000, 0
-60.0000, 36.0000, 0
-60.0000, 35.0000, 0
-60.0000, 34.0000, 0
-60.0000, 33.0000, 0
-60.0000, 32.0000, 0
-60.0000, 31.0000, 0
-60.0000, 30.0000, 0
-60.0000, 29.0000, 0
-60.0000, 28.0000, 0
-60.0000, 27.0000, 0
-60.0000, 26.0000, 0
-60.0000, 25.0000, 0
-60.0000, 24.0000, 0
-60.0000, 23.0000, 0
